,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,income
88,30,54334,5,0,0,40,<=50K
89,43,410867,16,0,0,50,>50K
90,57,249977,11,0,0,40,<=50K
91,37,286730,10,0,0,40,<=50K
92,28,212563,10,0,0,25,<=50K
93,30,117747,9,0,1573,35,<=50K
94,34,226296,13,0,0,40,>50K
95,29,115585,10,0,0,50,<=50K
96,48,191277,16,0,1902,60,>50K
97,37,202683,10,0,0,48,>50K
98,48,171095,12,0,0,40,<=50K
99,32,249409,9,0,0,40,<=50K
100,76,124191,14,0,0,40,>50K
101,44,198282,13,15024,0,60,>50K
102,47,149116,14,0,0,50,<=50K
103,20,188300,10,0,0,40,<=50K
104,29,103432,9,0,0,40,<=50K
105,32,317660,9,7688,0,40,>50K
106,17,304873,6,34095,0,32,<=50K
107,30,194901,7,0,0,40,<=50K
108,31,189265,9,0,0,40,<=50K
109,42,124692,9,0,0,40,<=50K
110,24,432376,13,0,0,40,<=50K
111,38,65324,15,0,0,40,>50K
112,56,335605,9,0,1887,50,>50K
113,28,377869,10,4064,0,25,<=50K
114,36,102864,9,0,0,40,<=50K
115,53,95647,5,0,0,50,<=50K
116,56,303090,10,0,0,50,<=50K
117,49,197371,11,0,0,40,>50K
118,55,247552,10,0,0,56,<=50K
119,22,102632,9,0,0,41,<=50K
120,21,199915,10,0,0,40,<=50K
121,40,118853,13,0,0,60,<=50K
122,30,77143,13,0,0,40,<=50K
123,29,267989,13,0,0,50,>50K
124,19,301606,10,0,0,35,<=50K
125,47,287828,13,0,0,40,>50K
126,20,111697,10,0,1719,28,<=50K
127,31,114937,12,0,0,40,>50K
128,35,129305,9,0,0,40,<=50K
129,39,365739,10,0,0,40,<=50K
130,28,69621,12,0,0,60,<=50K
131,24,43323,9,0,1762,40,<=50K
132,38,120985,9,4386,0,35,<=50K
133,37,254202,13,0,0,50,<=50K
134,46,146195,12,0,0,36,<=50K
135,38,125933,14,0,0,40,>50K
136,43,56920,9,0,0,60,<=50K
137,27,163127,11,0,0,35,<=50K
138,20,34310,10,0,0,20,<=50K
139,49,81973,10,0,0,40,>50K
140,61,66614,9,0,0,40,<=50K
141,27,232782,10,0,0,40,<=50K
142,19,316868,10,0,0,30,<=50K
143,45,196584,11,0,1564,40,>50K
144,70,105376,10,0,0,40,<=50K
145,31,185814,9,0,0,30,<=50K
146,22,175374,10,0,0,24,<=50K
147,36,108293,9,0,0,24,<=50K
148,64,181232,7,0,2179,40,<=50K
149,43,174662,10,0,0,40,<=50K
150,47,186009,10,0,0,38,<=50K
151,34,198183,9,0,0,40,<=50K
152,33,163003,13,0,0,40,<=50K
153,21,296158,9,0,0,35,<=50K
154,52,252903,9,0,0,45,>50K
155,48,187715,9,0,0,46,<=50K
156,23,214542,13,0,0,40,<=50K
157,71,494223,10,0,1816,2,<=50K
158,29,191535,9,0,0,60,<=50K
159,42,228456,13,0,0,50,<=50K
160,68,38317,2,0,0,20,<=50K
161,25,252752,9,0,0,40,<=50K
162,44,78374,14,0,0,40,<=50K
163,28,88419,9,0,0,40,<=50K
164,45,201080,14,0,0,40,>50K
165,36,207157,10,0,0,40,<=50K
166,39,235485,12,0,0,42,<=50K
167,46,102628,14,0,0,40,<=50K
168,18,25828,7,0,0,16,<=50K
169,66,54826,11,0,0,20,<=50K
170,27,124953,9,0,1980,40,<=50K
171,28,175325,9,0,0,40,<=50K
172,51,96062,10,0,1977,40,>50K
173,27,428030,13,0,0,50,<=50K
174,28,149624,13,0,0,40,>50K
175,27,253814,9,0,0,25,<=50K
176,21,312956,9,0,0,40,<=50K
177,34,483777,9,0,0,40,<=50K
178,18,183930,9,0,0,12,<=50K
179,33,37274,13,0,0,65,<=50K
180,44,181344,10,0,0,38,>50K
181,43,114580,10,0,0,40,<=50K
182,30,633742,10,0,0,45,<=50K
183,40,286370,4,0,0,40,>50K
184,37,29054,10,0,0,42,>50K
185,34,304030,9,0,0,40,<=50K
186,41,143129,13,0,0,40,<=50K
187,53,135105,13,0,0,50,<=50K
188,31,99928,14,0,0,50,<=50K
189,58,109567,16,0,0,1,>50K
190,38,155222,10,0,0,28,<=50K
191,24,159567,10,0,0,40,<=50K
192,41,523910,13,0,0,40,<=50K
193,47,120939,10,0,0,45,<=50K
194,41,130760,13,0,0,24,<=50K
195,23,197387,3,0,0,40,<=50K
196,36,99374,10,0,0,40,<=50K
197,40,56795,14,14084,0,55,>50K
198,35,138992,14,7298,0,40,>50K
199,24,32921,9,0,0,40,<=50K
200,26,397317,14,0,1876,40,<=50K
201,19,170653,9,0,0,40,<=50K
202,51,259323,13,0,0,50,>50K
203,42,254817,10,0,1340,40,<=50K
204,37,48211,9,0,0,35,<=50K
205,18,140164,7,0,0,40,<=50K
206,36,128757,13,7298,0,36,>50K
207,35,36270,9,0,0,60,<=50K
208,58,210563,9,15024,0,35,>50K
209,17,65368,7,0,0,12,<=50K
210,44,160943,9,0,0,40,<=50K
211,37,208358,9,0,0,40,>50K
212,35,153790,10,0,0,40,<=50K
213,60,85815,9,0,0,40,<=50K
214,54,125417,4,0,0,40,>50K
215,37,635913,13,0,0,60,>50K
216,50,313321,12,0,0,40,<=50K
217,38,182609,13,0,0,50,<=50K
218,45,109434,13,0,0,55,<=50K
219,25,255004,6,0,0,40,<=50K
220,31,197860,10,0,0,40,<=50K
221,64,187656,2,0,0,40,<=50K
222,90,51744,9,0,2206,40,<=50K
223,54,176681,9,0,0,20,<=50K
224,53,140359,1,0,0,35,<=50K
225,18,243313,9,0,0,40,<=50K
226,60,24215,6,0,0,10,<=50K
227,66,167687,9,1409,0,50,<=50K
228,75,314209,11,0,0,20,<=50K
229,65,176796,9,0,0,40,<=50K
230,35,538583,7,3674,0,40,<=50K
231,41,130408,9,0,0,38,<=50K
232,25,159732,10,0,0,42,<=50K
233,33,110978,10,0,0,40,<=50K
234,28,76714,15,0,0,55,>50K
235,59,268700,9,0,0,40,<=50K
236,40,170525,10,0,0,38,<=50K
237,41,180138,13,0,0,50,>50K
238,38,115076,14,0,0,70,>50K
239,23,115458,9,0,0,40,<=50K
240,40,347890,13,0,0,40,>50K
241,41,196001,9,0,0,20,<=50K
242,24,273905,12,0,0,50,<=50K
243,20,119156,10,0,0,20,<=50K
244,38,179488,10,0,1741,40,<=50K
245,56,203580,9,0,0,35,<=50K
246,58,236596,9,0,0,45,>50K
247,32,183916,9,0,0,34,<=50K
248,40,207578,12,0,1977,60,>50K
249,45,153141,9,0,0,40,<=50K
250,41,112763,15,0,0,40,>50K
251,42,390781,13,0,0,40,<=50K
252,59,171328,6,0,0,30,<=50K
253,19,27382,10,0,0,40,<=50K
254,58,259014,10,0,0,20,<=50K
255,42,303044,9,0,0,40,>50K
256,20,117789,9,0,0,40,<=50K
257,32,172579,9,0,0,30,<=50K
258,45,187666,11,0,0,45,<=50K
259,50,204518,4,0,0,40,<=50K
260,36,150042,13,0,0,40,<=50K
261,45,98092,9,0,0,60,<=50K
262,17,245918,7,0,0,12,<=50K
263,59,146013,10,4064,0,40,<=50K
264,26,378322,7,0,0,40,<=50K
265,37,257295,10,0,0,75,>50K
266,19,218956,10,0,0,24,<=50K
267,64,21174,9,0,0,40,>50K
268,33,185480,13,0,0,45,<=50K
269,33,222205,9,0,0,40,>50K
270,61,69867,9,0,0,40,>50K
271,17,191260,5,1055,0,24,<=50K
272,50,30653,14,2407,0,98,<=50K
273,27,209109,14,0,0,35,<=50K
274,30,70377,9,0,0,40,<=50K
275,43,477983,9,0,0,40,<=50K
276,44,170924,10,7298,0,40,>50K
277,35,190174,10,0,0,40,<=50K
278,25,193787,10,0,0,40,<=50K
279,24,279472,10,7298,0,48,>50K
280,22,34918,13,0,0,15,<=50K
281,42,97688,10,5178,0,40,>50K
282,34,175413,12,0,0,45,<=50K
283,60,173960,13,0,0,42,<=50K
284,21,205759,9,0,0,40,<=50K
285,57,425161,14,15024,0,40,>50K
286,41,220531,15,0,0,60,>50K
287,50,176609,10,0,0,45,<=50K
288,25,371987,13,0,0,40,<=50K
289,50,193884,4,0,0,40,<=50K
290,36,200352,13,0,0,45,<=50K
291,31,127595,9,0,0,40,<=50K
292,29,220419,13,0,0,56,<=50K
293,21,231931,10,0,0,45,<=50K
294,27,248402,13,0,0,40,<=50K
295,65,111095,9,0,0,16,<=50K
296,37,57424,13,0,0,60,<=50K
297,39,157443,14,3464,0,40,<=50K
298,24,278130,9,0,0,40,<=50K
299,38,169469,9,0,0,80,<=50K
300,48,146268,13,7688,0,40,>50K
301,21,153718,10,0,0,25,<=50K
302,31,217460,9,0,0,45,>50K
303,55,238638,9,4386,0,40,>50K
304,24,303296,10,0,0,40,<=50K
305,43,173321,9,0,0,40,<=50K
306,26,193945,12,0,0,45,<=50K
307,46,83082,12,0,0,33,<=50K
308,35,193815,12,0,0,40,>50K
309,41,34987,10,0,0,54,>50K
310,26,59306,13,0,0,40,<=50K
311,34,142897,14,7298,0,35,>50K
312,19,860348,10,0,0,25,<=50K
313,36,205607,13,0,0,40,>50K
314,22,199698,10,0,0,15,<=50K
315,24,191954,10,0,0,40,<=50K
316,77,138714,10,0,0,40,<=50K
317,22,399087,3,0,0,40,<=50K
318,29,423158,10,0,0,40,<=50K
319,62,159841,9,0,0,24,<=50K
320,39,174308,9,0,0,40,<=50K
321,43,50356,10,0,1485,50,<=50K
322,35,186110,9,0,0,45,<=50K
323,29,200381,7,0,0,40,<=50K
324,76,174309,14,0,0,10,<=50K
325,63,78383,9,0,0,45,<=50K
326,23,211601,11,0,0,15,<=50K
327,43,187728,10,0,1887,50,>50K
328,58,321171,9,0,0,40,<=50K
329,66,127921,9,2050,0,55,<=50K
330,41,206565,10,0,0,45,<=50K
331,26,224563,13,0,0,40,<=50K
332,47,178686,11,0,0,40,<=50K
333,55,98545,6,0,0,40,<=50K
334,53,242606,9,0,0,40,<=50K
335,17,270942,3,0,0,48,<=50K
336,30,94235,9,0,0,40,<=50K
337,49,71195,14,0,0,60,<=50K
338,19,104112,9,0,0,30,<=50K
339,45,261192,9,0,0,40,<=50K
340,26,94936,12,0,0,40,<=50K
341,38,296478,11,7298,0,40,>50K
342,36,119272,9,7298,0,40,>50K
343,33,85043,9,0,0,20,<=50K
344,22,293364,10,0,0,40,<=50K
345,43,241895,13,0,0,42,<=50K
346,67,36135,7,0,0,8,<=50K
347,30,151989,11,0,0,40,<=50K
348,56,101128,12,0,0,25,<=50K
349,31,156464,13,0,0,25,<=50K
350,33,117963,13,0,0,40,>50K
351,26,192262,9,0,0,40,<=50K
352,33,111363,13,0,0,40,>50K
353,46,329752,7,0,0,30,<=50K
354,59,372020,13,0,0,40,>50K
355,38,95432,9,0,0,40,>50K
356,65,161400,7,0,0,40,<=50K
357,40,96129,11,0,0,40,>50K
358,42,111949,9,0,0,35,<=50K
359,26,117125,5,0,0,40,<=50K
360,36,348022,6,0,0,24,<=50K
361,62,270092,14,0,0,40,>50K
362,43,180609,13,0,0,45,<=50K
363,43,174575,13,0,1564,45,>50K
364,22,410439,9,0,0,55,<=50K
365,28,92262,9,0,0,40,<=50K
366,56,183081,10,0,0,45,<=50K
367,22,362589,12,0,0,15,<=50K
368,57,212448,13,0,0,45,>50K
369,39,481060,9,0,0,40,<=50K
370,26,185885,10,0,0,15,<=50K
371,17,89821,7,0,0,10,<=50K
372,40,184018,11,0,0,38,>50K
373,45,256649,9,0,0,40,<=50K
374,44,160323,9,0,0,40,<=50K
375,20,350845,10,0,0,10,<=50K
376,33,267404,9,0,0,40,<=50K
377,23,35633,10,0,0,40,<=50K
378,46,80914,14,0,0,30,<=50K
379,38,172927,9,0,0,50,<=50K
380,54,174319,9,0,0,40,<=50K
381,46,214955,3,0,2339,45,<=50K
382,25,344991,10,0,0,40,<=50K
383,46,108699,10,0,0,40,<=50K
384,36,117312,10,0,0,40,<=50K
385,23,396099,9,0,0,25,<=50K
386,29,134152,9,0,0,40,<=50K
387,44,162028,10,0,2415,6,>50K
388,19,25429,10,0,0,16,<=50K
389,19,232392,9,0,0,40,<=50K
390,35,220098,9,0,0,40,>50K
391,27,301302,13,0,0,50,<=50K
392,46,277946,12,0,0,40,<=50K
393,34,98101,13,7688,0,45,>50K
394,34,196164,9,0,0,35,<=50K
395,44,115562,10,0,0,40,<=50K
396,45,96975,10,0,0,40,<=50K
397,20,137300,9,0,0,35,<=50K
398,25,86872,13,0,0,55,>50K
399,52,132178,13,0,0,50,>50K
400,20,416103,10,0,0,40,<=50K
401,28,108574,10,0,0,40,<=50K
402,50,288353,13,0,0,40,>50K
403,34,227689,11,0,0,64,<=50K
404,28,166481,4,0,2179,40,<=50K
405,41,445382,14,0,1977,65,>50K
406,28,110145,9,0,0,40,<=50K
407,46,317253,9,0,0,25,<=50K
408,28,123147,10,0,1887,40,>50K
409,32,364657,10,0,0,50,<=50K
410,41,42346,10,0,0,24,<=50K
411,24,241951,9,0,0,40,<=50K
412,33,118500,10,0,0,40,<=50K
413,46,188386,16,15024,0,60,>50K
414,31,1033222,10,0,0,40,<=50K
415,35,92440,8,0,0,50,>50K
416,52,190762,2,0,0,40,<=50K
417,30,426017,7,0,0,19,<=50K
418,34,243867,7,0,0,40,<=50K
419,34,240283,9,0,0,40,<=50K
420,20,61777,10,0,0,30,<=50K
421,17,175024,7,2176,0,18,<=50K
422,32,92003,13,0,0,40,>50K
423,29,188401,9,0,0,40,<=50K
424,33,228528,6,0,0,35,<=50K
425,25,133373,9,0,0,60,<=50K
426,36,255191,14,0,1408,40,<=50K
427,23,204653,9,0,0,72,<=50K
428,63,222289,9,0,0,40,>50K
429,47,287480,14,0,0,40,<=50K
430,80,107762,9,0,0,24,<=50K
431,17,202521,7,0,0,40,<=50K
432,40,204116,13,2174,0,40,<=50K
433,30,29662,12,0,0,25,>50K
434,27,116358,10,0,1980,40,<=50K
435,33,208405,14,0,0,50,>50K
436,34,284843,9,594,0,60,<=50K
437,34,117018,10,0,0,40,<=50K
438,23,81281,10,0,0,40,<=50K
439,42,340148,10,0,0,40,<=50K
440,29,363425,13,0,0,40,<=50K
441,45,45857,9,0,0,28,<=50K
442,24,191073,9,0,0,40,<=50K
443,44,116632,10,0,0,40,>50K
444,27,405855,5,0,0,40,<=50K
445,20,298227,10,0,0,35,<=50K
446,44,290521,9,0,0,40,<=50K
447,51,56915,9,0,0,40,<=50K
448,20,146538,9,0,0,40,<=50K
449,17,258872,7,0,0,5,<=50K
450,19,206399,9,0,0,40,<=50K
451,45,197332,10,0,0,55,>50K
452,60,245062,9,0,0,40,>50K
453,42,197583,12,0,0,40,>50K
454,44,234885,9,0,0,40,>50K
455,40,72887,11,0,0,40,>50K
456,30,180374,9,0,0,40,<=50K
457,38,351299,10,0,0,50,<=50K
458,23,54012,9,0,0,60,<=50K
459,32,115745,10,0,0,40,<=50K
460,44,116632,12,0,0,40,<=50K
461,54,288825,9,0,0,40,<=50K
462,32,132601,13,0,0,50,<=50K
463,50,193374,2,0,0,40,<=50K
464,24,170070,13,0,0,20,<=50K
465,37,126708,9,0,0,60,<=50K
466,52,35598,9,0,0,40,<=50K
467,38,33983,10,0,0,40,<=50K
468,49,192776,14,0,1977,45,>50K
469,30,118551,13,0,0,16,>50K
470,60,201965,10,0,0,40,>50K
471,22,139883,10,0,0,40,<=50K
472,35,285020,9,0,0,40,<=50K
473,30,303990,9,0,0,60,<=50K
474,67,49401,11,0,0,24,<=50K
475,46,279196,13,0,0,40,<=50K
476,17,211870,5,0,0,6,<=50K
477,22,281432,10,0,0,30,<=50K
478,27,161155,6,0,0,40,<=50K
479,23,197904,9,0,0,35,<=50K
480,33,111746,12,0,0,45,<=50K
481,43,170721,10,0,0,20,<=50K
482,28,70100,13,0,0,20,<=50K
483,41,193626,9,0,0,40,<=50K
484,52,271749,8,594,0,40,<=50K
485,25,189775,10,0,0,20,<=50K
486,63,401531,2,0,0,35,<=50K
487,59,286967,9,0,0,45,<=50K
488,45,164427,13,0,0,40,<=50K
489,38,91039,13,15024,0,60,>50K
490,40,347934,9,0,0,35,<=50K
491,46,371373,9,0,0,40,<=50K
492,35,32220,12,0,0,60,<=50K
493,34,187251,9,0,0,25,<=50K
494,33,178107,13,0,0,20,<=50K
495,41,343121,9,0,0,36,<=50K
496,20,262749,10,0,0,40,<=50K
497,23,403107,3,0,0,40,<=50K
498,26,64293,10,0,0,35,<=50K
499,72,303588,9,0,0,20,<=50K
500,23,324960,9,0,0,40,<=50K
501,62,114060,9,0,0,40,<=50K
502,52,48925,10,0,0,40,<=50K
503,58,180980,10,0,0,42,<=50K
504,25,181054,13,0,0,40,<=50K
505,24,388093,13,0,0,40,<=50K
506,19,249609,10,0,0,8,<=50K
507,43,112131,10,0,0,40,<=50K
508,47,543162,9,0,0,40,<=50K
509,39,91996,9,0,0,40,<=50K
510,49,141944,11,0,1380,42,<=50K
511,53,251804,3,0,0,30,<=50K
512,32,37070,11,0,0,45,<=50K
513,34,337587,10,0,0,50,>50K
514,28,189346,9,0,0,45,<=50K
515,57,222216,11,0,0,38,<=50K
516,25,267044,10,0,0,20,<=50K
517,20,214635,10,0,0,24,<=50K
518,21,204226,10,0,0,35,<=50K
519,34,108116,13,0,0,50,>50K
520,38,99146,13,15024,0,80,>50K
521,50,196232,9,7688,0,50,>50K
522,24,248344,10,0,0,50,<=50K
523,37,186035,10,0,0,45,>50K
524,44,177905,10,0,0,58,>50K
525,28,85812,10,0,0,40,<=50K
526,42,221172,13,0,0,40,>50K
527,74,99183,10,0,0,9,<=50K
528,38,190387,9,0,0,50,<=50K
529,44,202692,14,0,0,40,<=50K
530,44,109339,7,0,0,46,<=50K
531,26,108658,9,0,0,40,<=50K
532,36,197202,9,0,0,40,<=50K
533,41,101739,12,0,0,50,>50K
534,67,231559,15,20051,0,48,>50K
535,39,207853,8,0,0,50,<=50K
536,57,190942,2,0,0,30,<=50K
537,29,102345,11,0,0,40,<=50K
538,31,41493,13,0,0,45,<=50K
539,34,190027,9,0,0,40,<=50K
540,44,210525,10,0,0,40,<=50K
541,29,133937,16,0,0,40,<=50K
542,30,237903,10,0,0,40,<=50K
543,27,163862,9,0,0,40,<=50K
544,27,201872,10,0,0,50,<=50K
545,32,84179,9,0,0,45,<=50K
546,58,51662,6,0,0,8,<=50K
547,35,233327,10,0,0,40,<=50K
548,21,259510,9,0,0,36,<=50K
549,28,184831,10,0,0,40,<=50K
550,46,245724,10,0,0,50,<=50K
551,36,27053,9,0,0,40,<=50K
552,72,205343,7,0,0,40,<=50K
553,35,229328,9,0,0,40,<=50K
554,33,319560,11,0,0,40,>50K
555,69,136218,7,0,0,40,<=50K
556,35,54576,9,0,0,40,<=50K
557,31,323069,9,0,0,20,<=50K
558,34,148291,9,0,0,32,<=50K
559,30,152453,7,0,0,40,<=50K
560,28,114053,13,0,0,55,<=50K
561,54,212960,13,0,0,35,>50K
562,47,264052,10,0,0,50,>50K
563,24,82804,9,0,0,40,<=50K
564,52,334273,13,0,0,60,>50K
565,20,27337,9,0,0,48,<=50K
566,43,188436,14,5013,0,45,<=50K
567,45,433665,4,0,0,40,<=50K
568,29,110663,9,0,0,35,<=50K
569,47,87490,14,0,0,42,<=50K
570,24,354351,9,0,0,40,<=50K
571,51,95469,9,0,0,40,<=50K
572,17,242718,7,0,0,12,<=50K
573,37,22463,11,0,1977,40,>50K
574,27,158156,16,0,0,70,<=50K
575,29,350162,13,0,0,40,>50K
576,18,165532,8,0,0,25,<=50K
577,36,28738,12,0,0,35,<=50K
578,58,283635,13,0,0,40,<=50K
579,26,86646,10,0,0,45,<=50K
580,65,195733,10,0,0,30,>50K
581,57,69884,9,0,0,40,>50K
582,59,199713,9,0,0,40,<=50K
583,27,181659,9,0,0,40,<=50K
584,31,340939,13,0,0,40,<=50K
585,21,197747,10,0,0,24,<=50K
586,29,34292,10,0,0,60,<=50K
587,18,156764,7,0,0,40,<=50K
588,52,25826,6,0,1887,47,>50K
589,57,103948,13,0,0,80,<=50K
590,42,137390,9,0,0,40,<=50K
591,55,105138,9,0,0,40,<=50K
592,60,39352,4,0,0,48,>50K
593,31,168387,13,7688,0,40,>50K
594,23,117789,13,0,0,40,<=50K
595,27,267147,9,0,0,40,<=50K
596,23,99399,10,0,0,25,<=50K
597,42,214242,15,0,1902,50,>50K
598,25,200408,10,2174,0,40,<=50K
599,49,136455,13,0,0,45,<=50K
600,32,239824,13,0,0,40,<=50K
601,19,217039,10,0,0,28,<=50K
602,60,51290,4,0,0,40,<=50K
603,42,175674,5,0,0,40,<=50K
604,35,194404,12,0,0,40,<=50K
605,48,45612,9,0,0,37,<=50K
606,51,410114,14,0,0,40,>50K
607,29,182521,9,0,0,40,<=50K
608,36,339772,9,0,0,40,<=50K
609,17,169658,6,0,0,21,<=50K
610,52,200853,14,6849,0,60,<=50K
611,24,247564,9,0,0,40,<=50K
612,24,249909,9,0,0,50,<=50K
613,26,208122,13,1055,0,40,<=50K
614,27,109881,13,0,0,20,<=50K
615,39,207824,9,0,0,60,<=50K
616,30,369027,9,0,0,45,<=50K
617,50,114117,9,0,0,32,<=50K
618,52,51048,13,0,0,55,<=50K
619,46,102388,15,15024,0,45,>50K
620,23,190483,13,0,0,20,<=50K
621,45,462440,7,0,0,20,<=50K
622,65,109351,5,0,0,24,<=50K
623,29,34383,11,0,0,55,<=50K
624,47,241832,5,0,0,40,<=50K
625,30,124187,9,0,0,60,<=50K
626,34,153614,9,0,0,45,>50K
627,38,267556,9,0,0,64,<=50K
628,33,205469,10,0,0,40,>50K
629,49,268090,13,0,0,26,>50K
630,47,165039,10,0,0,40,<=50K
631,49,120451,6,0,0,40,<=50K
632,43,154374,10,15024,0,60,>50K
633,30,103649,13,0,0,40,>50K
634,58,35723,9,0,0,60,<=50K
635,19,262601,9,0,0,14,<=50K
636,21,226181,13,0,0,40,<=50K
637,33,175697,13,15024,0,60,>50K
638,47,248145,3,0,0,50,<=50K
639,52,289436,16,0,0,60,>50K
640,26,75654,9,0,0,55,<=50K
641,60,199378,9,0,0,40,<=50K
642,21,160968,10,0,0,40,<=50K
643,36,188563,10,5178,0,50,>50K
644,31,55849,10,0,0,45,<=50K
645,50,195322,16,0,0,40,>50K
646,31,402089,9,0,0,40,<=50K
647,71,78277,9,0,0,15,<=50K
648,58,158611,9,0,0,50,<=50K
649,30,169496,13,0,0,40,>50K
650,20,130959,10,0,0,20,<=50K
651,24,556660,9,4101,0,50,<=50K
652,35,292472,16,0,0,40,>50K
653,38,143774,10,0,0,45,<=50K
654,27,288341,9,0,0,32,<=50K
655,29,71592,10,0,0,40,<=50K
656,70,167358,5,1111,0,15,<=50K
657,34,106742,9,0,0,45,<=50K
658,44,219288,4,0,0,35,<=50K
659,43,174524,9,0,0,40,>50K
660,44,335183,8,0,0,40,>50K
661,35,261293,14,0,0,60,<=50K
662,27,111900,10,0,0,40,<=50K
663,43,194360,14,0,0,38,<=50K
664,20,81145,10,0,0,25,<=50K
665,42,341204,12,8614,0,40,>50K
666,27,249362,10,3411,0,40,<=50K
667,42,247019,9,0,0,40,>50K
668,20,114746,7,0,1762,40,<=50K
669,24,172146,5,0,1721,40,<=50K
670,48,110457,10,0,0,40,<=50K
671,17,80077,7,0,0,20,<=50K
672,17,368700,7,0,0,10,<=50K
673,33,182556,13,0,0,40,>50K
674,50,219420,9,0,0,50,>50K
675,22,240817,9,2597,0,40,<=50K
676,17,102726,8,0,0,16,<=50K
677,32,226267,10,0,0,40,<=50K
678,31,125457,9,0,0,45,<=50K
679,58,204021,9,0,0,50,<=50K
680,29,92262,9,0,0,48,<=50K
681,37,161141,11,0,0,40,>50K
682,34,190290,9,0,0,40,>50K
683,23,430828,10,0,0,40,<=50K
684,18,59342,7,0,0,5,<=50K
685,34,136721,9,0,0,40,<=50K
686,66,149422,4,0,0,4,<=50K
687,45,86644,13,0,0,55,<=50K
688,41,195124,14,0,0,35,<=50K
689,26,167350,9,0,0,30,<=50K
690,54,113000,10,0,0,40,<=50K
691,24,140027,10,0,0,45,<=50K
692,42,262425,10,0,0,50,<=50K
693,20,316702,10,0,0,20,<=50K
694,23,335453,13,0,0,20,<=50K
695,25,202480,12,0,0,45,<=50K
696,35,203628,14,0,0,60,>50K
697,31,118710,14,0,1902,40,>50K
698,30,189620,13,0,0,40,<=50K
